样本数量,强度等级,标准差,不合格率
,,7.5,0.965,0.9235,0.8882,0.8505,0.8075,0.7541,0.7254,0.6746,0.6366,0.5862,0.2478,0.0027,0.0
,,9.5,0.957,0.9106,0.8699,0.8264,0.7825,0.7498,0.7023,0.6703,0.6281,0.5864,0.2776,0.0054,0.0
,55,3.5,0.4629,0.1935,0.0936,0.0419,0.0209,0.01,0.006,0.0033,0.0022,0.0011,0.0,0.0,0.0
,,4.5,0.9112,0.7305,0.5452,0.3985,0.2902,0.2121,0.1538,0.1119,0.0807,0.0567,0.0021,0.0,0.0
,,5.5,0.9734,0.9116,0.8193,0.7203,0.6176,0.5244,0.4465,0.3647,0.2995,0.2436,0.0279,0.0,0.0
,,7.5,0.9699,0.9358,0.8961,0.8557,0.8142,0.7608,0.7079,0.65,0.5976,0.5448,0.169,0.0006,0.0
,,9.5,0.9625,0.9282,0.8842,0.8458,0.7941,0.7503,0.7162,0.6819,0.6338,0.597,0.2523,0.0027,0.0
,65,3.5,0.0948,0.0199,0.0059,0.0011,0.0006,0.0005,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0
,,4.5,0.676,0.3687,0.2051,0.1229,0.0691,0.0472,0.0234,0.0177,0.0106,0.0062,0.0001,0.0,0.0
,,5.5,0.9345,0.7755,0.608,0.4666,0.3571,0.2571,0.1965,0.1413,0.1113,0.0761,0.0033,0.0,0.0
,,7.5,0.9752,0.9351,0.892,0.8268,0.748,0.6785,0.6108,0.5373,0.4658,0.4137,0.0824,0.0002,0.0
,,9.5,0.9705,0.9352,0.8945,0.8569,0.812,0.7626,0.72,0.6675,0.6165,0.5716,0.2005,0.0014,0.0
12,25,3.5,0.9853,0.9604,0.9371,0.9006,0.8688,0.829,0.7931,0.7542,0.7182,0.6776,0.3442,0.0109,0.0
,,4.5,0.9771,0.939,0.8907,0.8497,0.8018,0.7463,0.7005,0.6467,0.6059,0.5649,0.2284,0.0041,0.0
,,5.5,0.9639,0.9167,0.8589,0.7968,0.7404,0.6873,0.6337,0.5882,0.5251,0.4967,0.1739,0.0036,0.0
,,7.5,0.9495,0.8771,0.8062,0.7317,0.6637,0.6076,0.5423,0.4844,0.4478,0.3949,0.1132,0.0002,0.0
,,9.5,0.9322,0.8549,0.7624,0.694,0.6164,0.5469,0.4916,0.4275,0.3844,0.3313,0.0857,0.0004,0.0
,35,3.5,0.9937,0.9858,0.9748,0.9614,0.9443,0.9265,0.9056,0.8815,0.8631,0.838,0.5662,0.0603,0.0004
,,4.5,0.9862,0.9676,0.9445,0.9203,0.8918,0.8576,0.8228,0.7852,0.7637,0.7225,0.3892,0.0175,0.0
,,5.5,0.9811,0.9512,0.9158,0.8735,0.8383,0.7843,0.7476,0.7087,0.6663,0.6251,0.2809,0.0076,0.0
,,7.5,0.9656,0.911,0.8618,0.8048,0.7536,0.6989,0.6382,0.5941,0.5435,0.4927,0.1737,0.0029,0.0
,,9.5,0.9525,0.8897,0.82,0.7506,0.685,0.6309,0.5767,0.5092,0.4574,0.4136,0.1351,0.0006,0.0
,45,3.5,0.9979,0.9958,0.9902,0.9845,0.9792,0.9727,0.9593,0.9494,0.9391,0.9271,0.7602,0.1643,0.0026
,,4.5,0.9937,0.9868,0.9723,0.9608,0.9467,0.9288,0.9048,0.8866,0.8649,0.8393,0.5699,0.0537,0.0002
,,5.5,0.9898,0.9735,0.9541,0.9287,0.9053,0.8679,0.8466,0.8174,0.7788,0.7465,0.4158,0.0231,0.0003
,,7.5,0.9767,0.9442,0.9092,0.8657,0.8242,0.782,0.7258,0.6928,0.6368,0.5979,0.2537,0.0057,0.0
,,9.5,0.966,0.92,0.8646,0.8116,0.7545,0.6993,0.6438,0.5991,0.5426,0.5039,0.1849,0.0026,0.0
,55,3.5,0.9995,0.9982,0.9977,0.9949,0.9924,0.9883,0.987,0.9784,0.9768,0.9719,0.8808,0.3542,0.014
,,4.5,0.998,0.9939,0.988,0.9814,0.9726,0.964,0.9524,0.9386,0.9273,0.9129,0.7269,0.1337,0.0011
,,5.5,0.9937,0.9844,0.9757,0.964,0.9443,0.9273,0.9048,0.8861,0.8603,0.8389,0.5619,0.0602,0.0001
,,7.5,0.9864,0.9613,0.9391,0.9055,0.8727,0.8369,0.8036,0.7669,0.7281,0.6951,0.3538,0.0143,0.0
,,9.5,0.9741,0.9372,0.9019,0.8613,0.8157,0.763,0.7171,0.6743,0.6168,0.5776,0.2559,0.0066,0.0
,65,3.5,0.9999,0.9998,0.9988,0.9982,0.9967,0.9955,0.9949,0.9938,0.9918,0.9907,0.9544,0.5735,0.0614
,,4.5,0.9994,0.9965,0.9939,0.9909,0.986,0.9841,0.9766,0.9699,0.9648,0.9574,0.8452,0.262,0.0071
,,5.5,0.9963,0.9938,0.9871,0.9796,0.9676,0.9609,0.9463,0.9305,0.9159,0.9043,0.6923,0.1174,0.0006
,,7.5,0.9916,0.9745,0.9608,0.9351,0.9165,0.8905,0.8598,0.829,0.8046,0.7746,0.4654,0.0312,0.0
,,9.5,0.9865,0.9567,0.9293,0.8903,0.8603,0.8173,0.7797,0.7303,0.7,0.6618,0.3179,0.0102,0.0
18,25,3.5,0.9929,0.983,0.9699,0.9525,0.9273,0.9006,0.8779,0.839,0.8078,0.7672,0.3791,0.0053,0.0
,,4.5,0.987,0.9625,0.9336,0.9073,0.8593,0.8172,0.7681,0.727,0.6725,0.6225,0.2235,0.0012,0.0
,,5.5,0.9754,0.9445,0.8938,0.8534,0.7977,0.7424,0.692,0.6264,0.576,0.5151,0.1546,0.0005,0.0
,,7.5,0.9596,0.899,0.8285,0.7737,0.6958,0.6242,0.564,0.493,0.4339,0.3817,0.0793,0.0001,0.0
,,9.5,0.9434,0.8681,0.7913,0.6964,0.6334,0.5448,0.4824,0.414,0.3551,0.3069,0.052,0.0,0.0
,35,3.5,0.9992,0.9958,0.993,0.9907,0.9849,0.976,0.9668,0.955,0.9435,0.9286,0.6783,0.0397,0.0
,,4.5,0.9958,0.9887,0.9753,0.9656,0.945,0.9273,0.899,0.8774,0.8483,0.8143,0.4503,0.0072,0.0
