样本数量,强度等级,标准差,不合格率
,,,0.010000000000000009,0.020000000000000018,0.030000000000000027,0.040000000000000036,0.050000000000000044,0.06000000000000005,0.06999999999999995,0.07999999999999996,0.08999999999999997,0.09999999999999998,0.19999999999999996,0.5,0.8
4,25,3.5,0.9825,0.9515,0.9213,0.8809,0.8302,0.7832,0.7527,0.6961,0.65,0.617,0.2975,0.0148,0.0
,,4.5,0.9808,0.9554,0.9348,0.9013,0.8694,0.8423,0.816,0.778,0.7303,0.713,0.417,0.0329,0.0005
,,5.5,0.9795,0.954,0.9301,0.9039,0.8771,0.8413,0.8182,0.7902,0.76,0.7304,0.4587,0.0558,0.0007
,,7.5,0.9766,0.9491,0.9239,0.8938,0.8653,0.837,0.8068,0.7865,0.7532,0.7358,0.4922,0.0771,0.0014
,,9.5,0.9701,0.9424,0.916,0.8845,0.8568,0.8212,0.8025,0.7794,0.747,0.7206,0.4801,0.0777,0.0017
,35,3.5,0.9437,0.8629,0.777,0.6788,0.6053,0.5284,0.4697,0.4115,0.3581,0.328,0.0901,0.0021,0.0
,,4.5,0.9784,0.9435,0.899,0.8501,0.797,0.7479,0.6974,0.638,0.6031,0.5612,0.2404,0.0093,0.0001
,,5.5,0.9824,0.9571,0.9265,0.8973,0.8583,0.8158,0.7813,0.7442,0.7036,0.6644,0.3541,0.0226,0.0002
,,7.5,0.9789,0.9557,0.9328,0.9058,0.8662,0.8467,0.8085,0.7794,0.7628,0.7356,0.4614,0.0511,0.0008
,,9.5,0.9761,0.9501,0.9295,0.8965,0.8699,0.8442,0.8158,0.7884,0.7649,0.7321,0.478,0.0664,0.0013
,45,3.5,0.7858,0.6,0.4604,0.3659,0.2815,0.2263,0.1847,0.1461,0.1213,0.1005,0.014,0.0001,0.0
,,4.5,0.9432,0.861,0.7776,0.684,0.6107,0.545,0.4702,0.4213,0.363,0.3166,0.0946,0.0011,0.0
,,5.5,0.9746,0.9345,0.8819,0.8315,0.77,0.7204,0.6633,0.6091,0.5576,0.5195,0.2096,0.0072,0.0
,,7.5,0.9836,0.9548,0.9308,0.898,0.8654,0.8277,0.8008,0.761,0.7211,0.6957,0.3891,0.03,0.0004
,,9.5,0.9809,0.9545,0.9268,0.9007,0.8754,0.8459,0.8155,0.7915,0.7569,0.7318,0.4475,0.0527,0.0006
,55,3.5,0.4795,0.2735,0.1696,0.1078,0.0774,0.052,0.0423,0.0273,0.02,0.0156,0.0014,0.0,0.0
,,4.5,0.8427,0.6737,0.5309,0.4352,0.349,0.2839,0.2456,0.1955,0.1629,0.1389,0.0222,0.0,0.0
,,5.5,0.9447,0.8559,0.7638,0.6867,0.608,0.5251,0.4712,0.4202,0.3712,0.324,0.0879,0.001,0.0
,,7.5,0.9791,0.9517,0.9082,0.869,0.8255,0.7786,0.729,0.6783,0.6365,0.6089,0.2793,0.0111,0.0
,,9.5,0.9823,0.9587,0.9298,0.8986,0.8687,0.8315,0.8065,0.7654,0.7333,0.6962,0.3908,0.0347,0.0004
